ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz,AngleZ,AngleX,AngleY
946758609,8906108000000,,,-1260194546641088000,0.0,4185.980185866356,26.298824131445407,12.568846629941035,3419,24,0.0,15,405052678649627,7,37.0,319.6941223144531,0.03959999978542328,0,0.0,0.0,,,,,0,,1,,,218.35938,-112.6875,20.171875
946759610,8906894000000,,,-1260194546640325632,0.0,4154.254216700792,21.712025159881186,10.955951287347295,3420,12,0.0,15,405053452287345,31,23.7,-492.8225402832031,0.6694999933242798,0,0.0,0.0,,,,,0,,1,,,275.34375,-99.140625,7.875
946759610,8906894000000,,,-1260194546640325632,0.0,4154.254216700792,21.712025159881186,10.955951287347295,3420,15,0.0,15,405053453285873,10,34.5,587.8683471679688,0.03660000115633011,0,0.0,0.0,,,,,0,,1,,,275.34375,-99.140625,7.875
946759611,8906894000000,,,-1260194546640325632,0.0,4154.254216700792,21.712025159881186,10.955951287347295,3420,20,0.0,15,405053467530235,35,22.1,64.31925964355469,0.7820000052452087,0,0.0,0.0,,,,,0,,1,,,275.34375,-99.140625,7.875
946759611,8906894000000,,,-1260194546640325632,0.0,4154.254216700792,21.712025159881186,10.955951287347295,3420,21,0.0,15,405053460673747,21,26.7,465.0363464355469,0.12770000100135803,0,0.0,0.0,,,,,0,,1,,,275.34375,-99.140625,7.875
946759612,8906894000000,,,-1260194546640325632,0.0,4154.254216700792,21.712025159881186,10.955951287347295,3420,24,0.0,15,405053463886204,13,31.8,315.5674133300781,0.028300000354647636,0,0.0,0.0,,,,,0,,1,,,275.34375,-99.140625,7.875
946759612,8906894000000,,,-1260194546640325632,0.0,4154.254216700792,21.712025159881186,10.955951287347295,3420,32,0.0,15,405053461375637,24,25.4,-348.1121520996094,0.21090000867843628,0,0.0,0.0,,,,,0,,1,,,275.34375,-99.140625,7.875
946760629,8907906000000,,,-1260194546640099328,0.0,4201.97332277894,5.828343661300643,12.257708919063454,3421,15,0.0,15,405054465058058,6,38.9,585.636962890625,0.018699999898672104,0,0.0,0.0,,,,,0,,1,,,334.67188,-96.40625,1.375
946760630,8907906000000,,,-1260194546640099328,0.0,4201.97332277894,5.828343661300643,12.257708919063454,3421,20,0.0,15,405054479304043,17,28.3,62.24305725097656,0.06930000334978104,0,0.0,0.0,,,,,0,,1,,,334.67188,-96.40625,1.375
946760630,8907906000000,,,-1260194546640099328,0.0,4201.97332277894,5.828343661300643,12.257708919063454,3421,21,0.0,15,405054472446378,8,36.1,464.64990234375,0.03200000151991844,0,0.0,0.0,,,,,0,,1,,,334.67188,-96.40625,1.375
